Month, Actual_sales, Forecast_sales_1, Forecast_sales_2, Forecast_sales_3, Forecast_sales_4
2018-05,54,56.20828746551229,57.10279610676253,56.208216619924386,57.10346484021828
2018-06,61,53.92769254290365,55.11528584144009,53.926989092601005,55.115324733139204
2018-07,67,66.22316771598086,63.75550285535057,66.222563532115,63.75562540267961
2018-08,68,57.300940777047224,57.723103291452716,57.30066075882528,57.723395003816236
2018-09,59,56.20828746551229,57.10279610632236,56.208216619924386,57.10345137968985
2018-10,68,53.92769254290365,55.11528584101553,53.926989092601005,55.11532464768372
2018-11,93,66.22316771598086,63.75550285485804,66.222563532115,63.75562540202711
2018-12,68,57.300940777047224,57.723103291007654,57.30066075882528,57.72339500381239
2019-01,72,56.20828746551229,57.102796105882184,56.208216619924386,57.10345137968985
2019-02,67,53.92769254290365,55.115285840591014,53.926989092601005,55.11532464768372
2019-03,79,66.22316771598086,63.75550285436555,66.222563532115,63.75562540202711
2019-04,68,57.300940777047224,57.72310329056265,57.30066075882528,57.72339500381239
