Month, Actual_sales, Forecast_sales_1, Forecast_sales_2, Forecast_sales_3, Forecast_sales_4
2018-05,270,329.5669310349016,329.5093570174024,298.16181445459,298.18866792442645
2018-06,326,327.4185788891039,327.3719449177413,296.41456702811143,296.45256318588855
2018-07,337,348.54516648693806,348.4333609041264,323.206982158159,323.21009996020746
2018-08,348,352.0450561460413,351.9301900928837,325.96109295228314,325.9644783268139
2018-09,308,323.8872913855146,323.7702102043582,298.16181445459,298.18866792442645
2018-10,299,321.80556245892717,321.69986884288465,296.41456702811143,296.45256318588855
2018-11,328,342.26194141583846,342.08316489016215,323.206982158159,323.21009996020746
2018-12,380,345.64758390958883,345.46396314254525,325.96109295228314,325.9644783268139
2019-01,291,318.38302808759124,318.2101387147111,298.16181445459,298.18866792442645
2019-02,245,316.36496857274676,316.203861959352,296.41456702811143,296.45256318588855
2019-03,301,336.1815320717821,335.9401645731765,323.206982158159,323.21009996020746
2019-04,240,339.45825533839485,339.21041273042374,325.96109295228314,325.9644783268139
