Month, Actual_sales, Forecast_sales_1, Forecast_sales_2, Forecast_sales_3, Forecast_sales_4
2018-05,15,21.210849603528086,18.553882985087803,18.715074718716558,18.657809903628923
2018-06,13,28.316337003340653,25.166406976575242,27.711710584144733,27.93435723198842
2018-07,27,20.572564422042863,16.972446466218667,18.315862374225976,18.271156174920883
2018-08,16,18.0064589699276,15.951960388525233,17.443426302582825,17.386641505239318
2018-09,19,21.571537001233455,17.38960180972429,18.67821883745459,18.63337750122129
2018-10,21,28.776188741333332,23.45282945405201,27.67660924284309,27.910943581298586
2018-11,14,20.924105364721253,15.918313263744084,18.2989113946599,18.263175555546315
2018-12,9,18.320753577769942,14.971363325527054,17.43229373788861,17.382303475873865
2019-01,19,21.93737352929166,16.28744132464215,18.670149712633016,18.6306343102106
2019-02,22,29.242310671805416,21.838544579987268,27.668921475494546,27.908314191540104
2019-03,15,21.280689293132685,14.919841792422686,18.295198202279785,18.262279150892905
2019-04,12,18.63965334687463,14.042009029183106,17.429854737019156,17.38181617399405
