Month, Actual_sales, Forecast_sales_1, Forecast_sales_2, Forecast_sales_3, Forecast_sales_4
2018-05,82,85.15897266675519,84.2226545498161,86.14111705282521,86.1424463047588
2018-06,105,83.42364323353334,83.1381840400354,85.51854941640214,85.51841506081504
2018-07,71,86.91995091489878,85.77664656322382,89.32161990489536,89.3225031608928
2018-08,91,81.1695155609942,81.07727074438755,79.27776540230532,79.28030302430685
2018-09,75,85.79768120561641,84.32841888148864,86.18185474049245,86.18313210385591
2018-10,79,84.03718004163387,83.24129267043311,85.54602781358288,85.54585464267173
2018-11,109,87.58470967917455,85.88627199216162,89.34208044051083,89.34294765027647
2018-12,114,81.75109551543375,81.17542318003464,79.28886350734305,79.29137372365274
2019-01,103,86.44577924325327,84.43444199898086,86.19078777452035,86.1920537532156
2019-02,114,84.65955984058047,83.3446504583733,85.55205224309503,85.5518705589848
2019-03,95,88.25943481780223,85.99617041544238,89.34656576648756,89.34742945765895
2019-04,87,82.34084044000734,81.27380712869092,79.29129615918228,79.29380036728757
