Month, Actual_sales, Forecast_sales_1, Forecast_sales_2, Forecast_sales_3, Forecast_sales_4
2018-05,70,69.44882034502407,69.62155185436083,70.106703972244,69.7173384932918
2018-06,91,67.89924275189453,67.95308420938191,68.49844106555094,67.90334205314203
2018-07,134,71.70305935998306,72.07255477013503,71.27975090549089,71.91979942072402
2018-08,85,62.773330281827434,62.54572057080231,62.33523707626661,62.19391104376174
2018-09,96,70.03361954607583,70.25927195043259,70.16615556339974,69.76484000887694
2018-10,72,68.4871239513944,68.5736572029876,68.52537179082552,67.92364502624828
2018-11,84,72.28352253904701,72.72914184660065,71.2917711444979,71.9292436921895
2018-12,89,63.37205579491041,63.1133562190054,62.340825052368224,62.19749336937156
2019-01,90,70.61727747305852,70.89563945369459,70.16860419743624,69.76660589681953
2019-02,82,69.07382583573032,69.1929178709023,68.52648104867241,67.92439983245865
2019-03,92,72.86289622377939,73.38434378973912,71.29226626333023,71.929594810217
2019-04,56,63.96945961292485,63.67979887718283,62.34105522573146,62.19762655384901
