Month, Actual_sales, Forecast_sales_1, Forecast_sales_2, Forecast_sales_3, Forecast_sales_4
2018-05,154,182.2254700216243,182.15926926481862,191.32083391040868,191.30372937186206
2018-06,183,185.51239982542958,185.4191550611057,197.01635808893909,197.00613080989513
2018-07,173,190.84393974444112,190.74557615672262,204.93644234496696,204.9272032329774
2018-08,188,189.02805899511037,188.94315715846085,205.12957686949082,205.14109305386705
2018-09,176,175.2798218652093,175.1476434478542,191.32083391040868,191.30372937186206
2018-10,173,178.2531304711526,178.0934520079428,197.01635808893909,197.00613080989513
2018-11,224,183.0589001671486,182.88956853594485,204.93644234496696,204.9272032329774
2018-12,245,181.4244719187017,181.2689414374141,205.12957686949082,205.14109305386705
2019-01,182,168.97072444922534,168.78459996696228,191.32083391040868,191.30372937186206
2019-02,193,171.67586718177543,171.46226282296303,197.01635808893909,197.00613080989513
2019-03,189,176.0344867209611,175.80807605785355,204.93644234496696,204.9272032329774
2019-04,149,174.55404097492269,174.34147654468705,205.12957686949082,205.14109305386705
