Month, Actual_sales, Forecast_sales_1, Forecast_sales_2, Forecast_sales_3
2018-05,270,298.75887413691976,303.804799036457,314.8339614971943
2018-06,326,285.1054574500438,294.4580954688756,314.8339614971943
2018-07,337,271.45204076316776,285.39894781830844,314.8339614971943
2018-08,348,257.7986240762918,276.6185092860085,314.8339614971943
2018-09,308,244.14520738941576,268.10820524932893,314.8339614971943
2018-10,299,230.4917907025398,259.85972488809205,314.8339614971943
2018-11,328,216.83837401566376,251.86501306857673,314.8339614971943
2018-12,380,203.1849573287878,244.11626247719946,314.8339614971943
2019-01,291,189.53154064191176,236.60590599620636,314.8339614971943
2019-02,245,175.87812395503576,229.32660931393048,314.8339614971943
2019-03,301,162.22470726815976,222.27126376239877,314.8339614971943
2019-04,240,148.57129058128376,215.43297937529294,314.8339614971943
