Month, Actual_sales, Forecast_sales_1, Forecast_sales_2, Forecast_sales_3
2018-05,70,63.82293656210918,64.56336014058907,63.66399632153413
2018-06,91,63.58605701670023,64.86955256101747,63.66399632153413
2018-07,134,63.34917747129129,65.17719710224817,63.66399632153413
2018-08,85,63.11229792588235,65.48630065097952,63.66399632153413
2018-09,96,62.87541838047341,65.79687012657004,63.66399632153413
2018-10,72,62.638538835064466,66.10891248119343,63.66399632153413
2018-11,84,62.40165928965553,66.4224346999941,63.66399632153413
2018-12,89,62.16477974424659,66.73744380124367,63.66399632153413
2019-01,90,61.92790019883765,67.05394683649786,63.66399632153413
2019-02,82,61.6910206534287,67.37195089075458,63.66399632153413
2019-03,92,61.45414110801976,67.69146308261236,63.66399632153413
2019-04,56,61.21726156261082,68.01249056442978,63.66399632153413
