Month, Actual_sales, Forecast_sales_1, Forecast_sales_2, Forecast_sales_3
2018-05,15,8.930009719298983,10.71345659829698,11.409078554486896
2018-06,13,6.652483040159259,9.9469784424219,11.409078554486896
2018-07,27,4.374956361019534,9.235336814612566,11.409078554486896
2018-08,16,2.0974296818798095,8.574608517857744,11.409078554486896
2018-09,19,-0.18009699725991624,7.961151034381953,11.409078554486896
2018-10,21,-2.45762367639964,7.391582444871258,11.409078554486896
2018-11,14,-4.735150355539364,6.862762784347863,11.409078554486896
2018-12,9,-7.01267703467909,6.371776731910664,11.409078554486896
2019-01,19,-9.290203713818816,5.9159175389123035,11.409078554486896
2019-02,22,-11.567730392958541,5.492672106970633,11.409078554486896
2019-03,15,-13.845257072098264,5.09970713355145,11.409078554486896
2019-04,12,-16.12278375123799,4.734856248744687,11.409078554486896
