Month, Actual_sales, Forecast_sales_1, Forecast_sales_2, Forecast_sales_3
2018-05,136,134.7649689860068,136.5151885757672,139.4960571120519
2018-06,173,129.8782499529509,133.1566346919302,139.4960571120519
2018-07,142,124.99153091989501,129.88070812823477,139.4960571120519
2018-08,138,120.1048118868391,126.68537608298412,139.4960571120519
2018-09,126,115.2180928537832,123.56865576557628,139.4960571120519
2018-10,157,110.33137382072731,120.52861316612838,139.4960571120519
2018-11,158,105.4446547876714,117.56336185537096,139.4960571120519
2018-12,198,100.5579357546155,114.67106181406713,139.4960571120519
2019-01,173,95.6712167215596,111.8499182912305,139.4960571120519
2019-02,163,90.7844976885037,109.09818069043325,139.4960571120519
2019-03,143,85.89777865544781,106.41414148351348,139.4960571120519
2019-04,118,81.01105962239191,103.79613515100728,139.4960571120519
