Month, Actual_sales, Forecast_sales_1, Forecast_sales_2, Forecast_sales_3
2018-05,154,175.77460914460278,181.6064041165804,188.6499418659404
2018-06,183,163.08254050243937,174.27750493529902,188.6499418659404
2018-07,173,150.39047186027597,167.2443704516927,188.6499418659404
2018-08,188,137.69840321811253,160.4950648000567,188.6499418659404
2018-09,176,125.00633457594913,154.01813379790025,188.6499418659404
2018-10,173,112.31426593378572,147.8025855071621,188.6499418659404
2018-11,224,99.6221972916223,141.83787157989693,188.6499418659404
2018-12,245,86.9301286494589,136.11386935677442,188.6499418659404
2019-01,182,74.23806000729549,130.62086468800996,188.6499418659404
2019-02,193,61.54599136513207,125.34953544757366,188.6499418659404
2019-03,189,48.85392272296866,120.29093571269874,188.6499418659404
2019-04,149,36.161854080805256,115.43648058184094,188.6499418659404
