Month, Actual_sales, Forecast_sales_1, Forecast_sales_2, Forecast_sales_3
2018-05,82,76.84834586879714,78.66139063021481,78.51047967594609
2018-06,105,74.33007045215916,77.67097616652192,78.51047967594609
2018-07,71,71.81179503552117,76.69303187151068,78.51047967594609
2018-08,91,69.29351961888318,75.72740073504784,78.51047967594609
2018-09,75,66.7752442022452,74.77392772389247,78.51047967594609
2018-10,79,64.25696878560721,73.83245975680542,78.51047967594609
2018-11,109,61.73869336896923,72.90284567997172,78.51047967594609
2018-12,114,59.220417952331246,71.98493624273276,78.51047967594609
2019-01,103,56.70214253569326,71.07858407362393,78.51047967594609
2019-02,114,54.18386711905528,70.18364365671388,78.51047967594609
2019-03,95,51.66559170241729,69.29997130824187,78.51047967594609
2019-04,87,49.147316285779304,68.42742515354904,78.51047967594609
