Month, Actual_sales, Forecast_sales_1, Forecast_sales_2, Forecast_sales_3
2018-05,44,51.16911405841583,52.420461819229935,51.23143821778762
2018-06,51,50.848724991272945,53.065732678884686,51.23143821778762
2018-07,44,50.52833592413006,53.71894651477178,51.23143821778762
2018-08,66,50.20794685698718,54.38020110113673,51.23143821778762
2018-09,59,49.887557789844294,55.04959541577926,51.23143821778762
2018-10,85,49.56716872270141,55.727229654868594,51.23143821778762
2018-11,90,49.24677965555853,56.41320524794098,51.23143821778762
2018-12,85,48.92639058841564,57.107624873081804,51.23143821778762
2019-01,72,48.60600152127276,57.81059247229468,51.23143821778762
2019-02,61,48.285612454129875,58.522213267059655,51.23143821778762
2019-03,79,47.96522338698699,59.242593774082984,51.23143821778762
2019-04,50,47.64483431984411,59.97184182124071,51.23143821778762
