Month, Actual_sales, Forecast_sales_1, Forecast_sales_2, Forecast_sales_3
2018-05,54,51.54098014862996,53.291433419547765,57.00957685089428
2018-06,61,46.90286386498154,50.28405043404973,57.00957685089428
2018-07,67,42.26474758133312,47.44638238847945,57.00957685089428
2018-08,68,37.626631297684696,44.76885179936591,57.00957685089428
2018-09,59,32.988515014036274,42.24242166712049,57.00957685089428
2018-10,68,28.35039873038785,39.8585649750366,57.00957685089428
2018-11,93,23.71228244673943,37.60923590954511,57.00957685089428
2018-12,68,19.074166163091007,35.486842704590345,57.00957685089428
2019-01,72,14.436049879442585,33.48422201847302,57.00957685089428
2019-02,67,9.797933595794163,31.59461475667892,57.00957685089428
2019-03,79,5.159817312145741,29.81164325909206,57.00957685089428
2019-04,68,0.5217010284973185,28.12928977459666,57.00957685089428
