Date,Item Code,Item Desc,Category,Quantity,Total
2/1/17,170,G. MUZZA,Pizzas,15,1875
2/1/17,172,G. NAPOLITANA,Pizzas,10,1450
2/1/17,176,G. PROVOLONE,Pizzas,10,1550
2/1/17,174,G. ROQUEFORT,Pizzas,1,150
2/1/17,236,HAMB ALEMANA,Hamburgers,20,2300
2/1/17,231,HAMB ARGENTA,Hamburgers,10,1150
2/1/17,238,HAMB BRASILERA,Hamburgers,22,2530
2/1/17,241,HAMB CALABAZA,Hamburgers,7,700
2/1/17,239,HAMB CHARRUA,Hamburgers,8,920
2/1/17,230,HAMB COSSAB,Hamburgers,30,3450
2/1/17,235,HAMB FRANCESA,Hamburgers,31,3565
2/1/17,237,HAMB KANGREBURG,Hamburgers,35,4025
2/1/17,243,HAMB LENTEJAS,Hamburgers,10,1000
2/1/17,234,HAMB MEXICANA,Hamburgers,17,1955
2/1/17,233,HAMB NORMANDA,Hamburgers,26,2990
2/1/17,240,HAMB NORTEAMERI,Hamburgers,74,8510
2/1/17,244,HAMB QUINOA,Hamburgers,33,3300
2/1/17,242,HAMB SUIZA,Hamburgers,46,5290
2/1/17,232,HAMB VIKINGA,Hamburgers,61,7015
2/1/17,46,NACHOS,Apetizers,36,3060
2/1/17,24,PAPAS 4 QUESOS,Fries,70,6300
2/1/17,26,PAPAS BARBACOA,Fries,22,1980
2/1/17,28,PAPAS CHEDDAR,Fries,130,11700
2/1/17,22,PAPAS FRITAS,Fries,58,4060
2/1/17,25,PAPAS RUSTICAS,Fries,80,7200
2/1/17,190,POLLO BELGA,Sandwichs,19,2420
2/1/17,187,POLLO COSSAB,Sandwichs,7,890
2/1/17,159,QUESOS X 1,Tapas,11,1470
2/1/17,160,QUESOS X 2,Tapas,10,2490
2/1/17,54,RABAS,Apetizers,16,3040
2/1/17,56,RABAS C/SALSAS,Apetizers,3,645
2/1/17,55,RABAS PROV,Apetizers,6,1200
2/1/17,40,SALCH ALEMANA,Sausages,16,2160
2/1/17,42,SALCH DIABLO,Sausages,6,870
2/1/17,27,SALCHIPAPAS BEL,Fries,72,9000
2/1/17,191,SANWUCHE BERNA,Sandwichs,8,940
2/1/17,60,SUPER MILANESA,Entries,16,2000
2/1/17,61,SUPREMA FUGAZE,Entries,2,550
2/1/17,45,TABLA BRATWURST,Sausages,12,4320
2/1/17,82,TAPEO X2,Tapas,241,59770
2/1/17,57,TIRITAS POLL,Apetizers,37,3700
2/1/17,62,TORTILLA,Entries,9,900
2/1/17,63,TORTILLA ESP,Entries,23,2645
3/1/17,29,ADICIONAL PANCE,Fries,1,125
3/1/17,150,BAVIERA X 1,Tapas,11,1430
3/1/17,151,BAVIERA X 2,Tapas,12,3000
3/1/17,59,BRUSQUETA HONG,Apetizers,6,570
3/1/17,58,BRUSQUETAS CRUD,Apetizers,11,880
3/1/17,78,C. CAPRESSE,Pizzas,1,90
3/1/17,79,C. CRUDO RUCULA,Pizzas,1,95
3/1/17,71,C. FUGAZZETA,Pizzas,2,170
3/1/17,75,C. JAMON,Pizzas,1,90
3/1/17,80,C. JAMON Y MORR,Pizzas,1,100
3/1/17,77,C. MORRONES,Pizzas,1,90
3/1/17,70,C. MUZZA,Pizzas,7,525
3/1/17,72,C. NAPOLITANA,Pizzas,2,180
3/1/17,76,C. PROVOLONE,Pizzas,4,380
3/1/17,74,C. ROQUEFORT,Pizzas,1,90
3/1/17,49,CHOCOTORTA,Desserts,2,150
3/1/17,50,COPA MELBA,Desserts,13,975
3/1/17,152,COSSAB X 1,Tapas,36,5040
3/1/17,153,COSSAB X 2,Tapas,44,11440
3/1/17,226,CUAD. DE MUZZA,Apetizers,43,4300
3/1/17,188,CUADRIL COSSAB,Sandwichs,6,870
3/1/17,189,CUDRIL VIKINGO,Sandwichs,17,2465
3/1/17,23,ESPAÑOLAS PICAN,Fries,26,2210
3/1/17,173,G. CALABRESA,Pizzas,4,640
3/1/17,178,G. CAPRESSE,Pizzas,4,610
3/1/17,179,G. CRUDO Y RUCU,Pizzas,7,1190
3/1/17,171,G. FUGAZZETA,Pizzas,4,600
3/1/17,175,G. JAMON,Pizzas,2,320
3/1/17,180,G. JAMON Y MORR,Pizzas,8,1440
3/1/17,177,G. MORRONES,Pizzas,4,640
3/1/17,170,G. MUZZA,Pizzas,23,3105
3/1/17,172,G. NAPOLITANA,Pizzas,6,930
3/1/17,176,G. PROVOLONE,Pizzas,5,825
3/1/17,174,G. ROQUEFORT,Pizzas,3,480
3/1/17,236,HAMB ALEMANA,Hamburgers,16,1915
3/1/17,231,HAMB ARGENTA,Hamburgers,9,1070
3/1/17,238,HAMB BRASILERA,Hamburgers,9,1070
3/1/17,241,HAMB CALABAZA,Hamburgers,13,1400
3/1/17,239,HAMB CHARRUA,Hamburgers,12,1435
3/1/17,230,HAMB COSSAB,Hamburgers,27,3230
3/1/17,235,HAMB FRANCESA,Hamburgers,30,3600
3/1/17,237,HAMB KANGREBURG,Hamburgers,43,5155
3/1/17,243,HAMB LENTEJAS,Hamburgers,9,990
3/1/17,234,HAMB MEXICANA,Hamburgers,15,1795
3/1/17,233,HAMB NORMANDA,Hamburgers,15,1795
3/1/17,240,HAMB NORTEAMERI,Hamburgers,65,7790
3/1/17,244,HAMB QUINOA,Hamburgers,32,3520
3/1/17,242,HAMB SUIZA,Hamburgers,37,4440
3/1/17,232,HAMB VIKINGA,Hamburgers,48,5750
3/1/17,46,NACHOS,Apetizers,31,2635
3/1/17,24,PAPAS 4 QUESOS,Fries,72,6480
3/1/17,26,PAPAS BARBACOA,Fries,17,1530
3/1/17,28,PAPAS CHEDDAR,Fries,127,11430
3/1/17,22,PAPAS FRITAS,Fries,43,3010
3/1/17,25,PAPAS RUSTICAS,Fries,67,6030
3/1/17,190,POLLO BELGA,Sandwichs,10,1300
3/1/17,187,POLLO COSSAB,Sandwichs,16,2080
3/1/17,159,QUESOS X 1,Tapas,20,2700
3/1/17,160,QUESOS X 2,Tapas,6,1500
3/1/17,54,RABAS,Apetizers,15,2850
3/1/17,56,RABAS C/SALSAS,Apetizers,1,215
3/1/17,55,RABAS PROV,Apetizers,6,1200
3/1/17,40,SALCH ALEMANA,Sausages,31,4185
3/1/17,42,SALCH DIABLO,Sausages,10,1450
3/1/17,27,SALCHIPAPAS BEL,Fries,82,10250
3/1/17,191,SANWUCHE BERNA,Sandwichs,21,2310
3/1/17,60,SUPER MILANESA,Entries,9,1125
3/1/17,61,SUPREMA FUGAZE,Entries,3,825
3/1/17,45,TABLA BRATWURST,Sausages,10,3600
3/1/17,82,TAPEO X2,Tapas,198,49500
3/1/17,57,TIRITAS POLL,Apetizers,32,3200
3/1/17,62,TORTILLA,Entries,15,1500
3/1/17,63,TORTILLA ESP,Entries,21,2415
4/1/17,29,ADICIONAL PANCE,Fries,2,250
4/1/17,150,BAVIERA X 1,Tapas,13,1690
4/1/17,151,BAVIERA X 2,Tapas,13,3250
4/1/17,59,BRUSQUETA HONG,Apetizers,11,1045
4/1/17,58,BRUSQUETAS CRUD,Apetizers,16,1280
4/1/17,78,C. CAPRESSE,Pizzas,2,180
4/1/17,79,C. CRUDO RUCULA,Pizzas,2,200
4/1/17,71,C. FUGAZZETA,Pizzas,2,170
4/1/17,75,C. JAMON,Pizzas,2,180
4/1/17,80,C. JAMON Y MORR,Pizzas,2,200
4/1/17,77,C. MORRONES,Pizzas,1,90
4/1/17,70,C. MUZZA,Pizzas,8,600
4/1/17,72,C. NAPOLITANA,Pizzas,2,180
4/1/17,76,C. PROVOLONE,Pizzas,4,380
4/1/17,74,C. ROQUEFORT,Pizzas,1,90
4/1/17,49,CHOCOTORTA,Desserts,1,75
4/1/17,50,COPA MELBA,Desserts,21,1575
4/1/17,152,COSSAB X 1,Tapas,39,5460
4/1/17,153,COSSAB X 2,Tapas,38,9880
4/1/17,226,CUAD. DE MUZZA,Apetizers,22,2200
4/1/17,188,CUADRIL COSSAB,Sandwichs,6,870
4/1/17,189,CUDRIL VIKINGO,Sandwichs,13,1885
4/1/17,23,ESPAÑOLAS PICAN,Fries,25,2125
4/1/17,173,G. CALABRESA,Pizzas,4,640
