"Date","Item Code","Item Desc","Category","Quantity","Total"
"42767.0","50","COPA MELBA","Desserts","18.0","1350.0"
"42767.0","152","COSSAB X 1","Tapas","44.0","6100.0"
"42767.0","153","COSSAB X 2","Tapas","52.0","13430.0"
"42767.0","226","CUAD. DE MUZZA","Apetizers","25.0","2500.0"
"42767.0","188","CUADRIL COSSAB","Sandwichs","9.0","1295.0"
"42767.0","189","CUDRIL VIKINGO","Sandwichs","26.0","3745.0"
"42767.0","23","ESPAÑOLAS PICAN","Fries","24.0","2040.0"
"42767.0","173","G. CALABRESA","Pizzas","4.0","600.0"
"42767.0","178","G. CAPRESSE","Pizzas","7.0","1015.0"
"42767.0","179","G. CRUDO Y RUCU","Pizzas","8.0","1280.0"
"42767.0","171","G. FUGAZZETA","Pizzas","2.0","280.0"
"42767.0","175","G. JAMON","Pizzas","4.0","600.0"
"42767.0","180","G. JAMON Y MORR","Pizzas","9.0","1530.0"
"42767.0","177","G. MORRONES","Pizzas","2.0","300.0"
"42767.0","170","G. MUZZA","Pizzas","15.0","1875.0"
"42767.0","172","G. NAPOLITANA","Pizzas","10.0","1450.0"
"42767.0","176","G. PROVOLONE","Pizzas","10.0","1550.0"
"42767.0","174","G. ROQUEFORT","Pizzas","1.0","150.0"
"42767.0","236","HAMB ALEMANA","Hamburgers","20.0","2300.0"
"42767.0","231","HAMB ARGENTA","Hamburgers","10.0","1150.0"
"42767.0","238","HAMB BRASILERA","Hamburgers","22.0","2530.0"
"42767.0","241","HAMB CALABAZA","Hamburgers","7.0","700.0"
"42767.0","239","HAMB CHARRUA","Hamburgers","8.0","920.0"
"42767.0","230","HAMB COSSAB","Hamburgers","30.0","3450.0"
"42767.0","235","HAMB FRANCESA","Hamburgers","31.0","3565.0"
"42767.0","237","HAMB KANGREBURG","Hamburgers","35.0","4025.0"
"42767.0","243","HAMB LENTEJAS","Hamburgers","10.0","1000.0"
"42767.0","234","HAMB MEXICANA","Hamburgers","17.0","1955.0"
"42767.0","233","HAMB NORMANDA","Hamburgers","26.0","2990.0"
"42767.0","240","HAMB NORTEAMERI","Hamburgers","74.0","8510.0"
"42767.0","244","HAMB QUINOA","Hamburgers","33.0","3300.0"
"42767.0","242","HAMB SUIZA","Hamburgers","46.0","5290.0"
"42767.0","232","HAMB VIKINGA","Hamburgers","61.0","7015.0"
"42767.0","46","NACHOS","Apetizers","36.0","3060.0"
"42767.0","24","PAPAS 4 QUESOS","Fries","70.0","6300.0"
"42767.0","26","PAPAS BARBACOA","Fries","22.0","1980.0"
"42767.0","28","PAPAS CHEDDAR","Fries","130.0","11700.0"
"42767.0","22","PAPAS FRITAS","Fries","58.0","4060.0"
"42767.0","25","PAPAS RUSTICAS","Fries","80.0","7200.0"
"42767.0","190","POLLO BELGA","Sandwichs","19.0","2420.0"
"42767.0","187","POLLO COSSAB","Sandwichs","7.0","890.0"
"42767.0","159","QUESOS X 1","Tapas","11.0","1470.0"
"42767.0","160","QUESOS X 2","Tapas","10.0","2490.0"
"42767.0","54","RABAS","Apetizers","16.0","3040.0"
"42767.0","56","RABAS C/SALSAS","Apetizers","3.0","645.0"
"42767.0","55","RABAS PROV","Apetizers","6.0","1200.0"
"42767.0","40","SALCH ALEMANA","Sausages","16.0","2160.0"
"42767.0","42","SALCH DIABLO","Sausages","6.0","870.0"
"42767.0","27","SALCHIPAPAS BEL","Fries","72.0","9000.0"
"42767.0","191","SANWUCHE BERNA","Sandwichs","8.0","940.0"
"42767.0","60","SUPER MILANESA","Entries","16.0","2000.0"
"42767.0","61","SUPREMA FUGAZE","Entries","2.0","550.0"
"42767.0","45","TABLA BRATWURST","Sausages","12.0","4320.0"
"42767.0","82","TAPEO X2","Tapas","241.0","59770.0"
"42767.0","57","TIRITAS POLL","Apetizers","37.0","3700.0"
"42767.0","62","TORTILLA","Entries","9.0","900.0"
"42767.0","63","TORTILLA ESP","Entries","23.0","2645.0"
"42795.0","29","ADICIONAL PANCE","Fries","1.0","125.0"
"42795.0","150","BAVIERA X 1","Tapas","11.0","1430.0"
"42795.0","151","BAVIERA X 2","Tapas","12.0","3000.0"
"42795.0","59","BRUSQUETA HONG","Apetizers","6.0","570.0"
"42795.0","58","BRUSQUETAS CRUD","Apetizers","11.0","880.0"
"42795.0","78","C. CAPRESSE","Pizzas","1.0","90.0"
"42795.0","79","C. CRUDO RUCULA","Pizzas","1.0","95.0"
"42795.0","71","C. FUGAZZETA","Pizzas","2.0","170.0"
"42795.0","75","C. JAMON","Pizzas","1.0","90.0"
"42795.0","80","C. JAMON Y MORR","Pizzas","1.0","100.0"
"42795.0","77","C. MORRONES","Pizzas","1.0","90.0"
"42795.0","70","C. MUZZA","Pizzas","7.0","525.0"
"42795.0","72","C. NAPOLITANA","Pizzas","2.0","180.0"
"42795.0","76","C. PROVOLONE","Pizzas","4.0","380.0"
"42795.0","74","C. ROQUEFORT","Pizzas","1.0","90.0"
"42795.0","49","CHOCOTORTA","Desserts","2.0","150.0"
"42795.0","50","COPA MELBA","Desserts","13.0","975.0"
"42795.0","152","COSSAB X 1","Tapas","36.0","5040.0"
"42795.0","153","COSSAB X 2","Tapas","44.0","11440.0"
"42795.0","226","CUAD. DE MUZZA","Apetizers","43.0","4300.0"
"42795.0","188","CUADRIL COSSAB","Sandwichs","6.0","870.0"
"42795.0","189","CUDRIL VIKINGO","Sandwichs","17.0","2465.0"
"42795.0","23","ESPAÑOLAS PICAN","Fries","26.0","2210.0"
"42795.0","173","G. CALABRESA","Pizzas","4.0","640.0"
"42795.0","178","G. CAPRESSE","Pizzas","4.0","610.0"
"42795.0","179","G. CRUDO Y RUCU","Pizzas","7.0","1190.0"
"42795.0","171","G. FUGAZZETA","Pizzas","4.0","600.0"
"42795.0","175","G. JAMON","Pizzas","2.0","320.0"
"42795.0","180","G. JAMON Y MORR","Pizzas","8.0","1440.0"
"42795.0","177","G. MORRONES","Pizzas","4.0","640.0"
"42795.0","170","G. MUZZA","Pizzas","23.0","3105.0"
"42795.0","172","G. NAPOLITANA","Pizzas","6.0","930.0"
"42795.0","176","G. PROVOLONE","Pizzas","5.0","825.0"
