Date,Total
42736.0,510.0
42767.0,255.0
42795.0,90.0
42826.0,180.0
42856.0,95.0
42887.0,290.0
42979.0,100.0
43009.0,195.0
43040.0,315.0
43070.0,105.0
43101.0,110.0
43132.0,115.0
43160.0,230.0
43191.0,115.0
43221.0,115.0
43252.0,115.0
43282.0,120.0
43313.0,120.0
43374.0,270.0
43405.0,555.0
43435.0,140.0
43466.0,150.0
43497.0,300.0
43525.0,450.0
43556.0,300.0
