Month, Actual_sales, Forecast_sales_0.2, Forecast_sales_0.6, Forecast_sales_auto_optimize
2018-05,15,19.740134546394344,13.824138043369672,20.37500012502741
2018-06,13,19.740134546394344,13.824138043369672,20.37500012502741
2018-07,27,19.740134546394344,13.824138043369672,20.37500012502741
2018-08,16,19.740134546394344,13.824138043369672,20.37500012502741
2018-09,19,19.740134546394344,13.824138043369672,20.37500012502741
2018-10,21,19.740134546394344,13.824138043369672,20.37500012502741
2018-11,14,19.740134546394344,13.824138043369672,20.37500012502741
2018-12,9,19.740134546394344,13.824138043369672,20.37500012502741
2019-01,19,19.740134546394344,13.824138043369672,20.37500012502741
2019-02,22,19.740134546394344,13.824138043369672,20.37500012502741
2019-03,15,19.740134546394344,13.824138043369672,20.37500012502741
2019-04,12,19.740134546394344,13.824138043369672,20.37500012502741
