Month, Actual_sales, Forecast_sales_0.2, Forecast_sales_0.6, Forecast_sales_auto_optimize
2018-05,154,236.40334227358792,203.57121805587258,197.9300559473266
2018-06,183,236.40334227358792,203.57121805587258,197.9300559473266
2018-07,173,236.40334227358792,203.57121805587258,197.9300559473266
2018-08,188,236.40334227358792,203.57121805587258,197.9300559473266
2018-09,176,236.40334227358792,203.57121805587258,197.9300559473266
2018-10,173,236.40334227358792,203.57121805587258,197.9300559473266
2018-11,224,236.40334227358792,203.57121805587258,197.9300559473266
2018-12,245,236.40334227358792,203.57121805587258,197.9300559473266
2019-01,182,236.40334227358792,203.57121805587258,197.9300559473266
2019-02,193,236.40334227358792,203.57121805587258,197.9300559473266
2019-03,189,236.40334227358792,203.57121805587258,197.9300559473266
2019-04,149,236.40334227358792,203.57121805587258,197.9300559473266
