Month, Actual_sales, Forecast_sales_0.2, Forecast_sales_0.6, Forecast_sales_auto_optimize
2018-05,44,52.74094823221297,52.1881104156014,54.32499999562251
2018-06,51,52.74094823221297,52.1881104156014,54.32499999562251
2018-07,44,52.74094823221297,52.1881104156014,54.32499999562251
2018-08,66,52.74094823221297,52.1881104156014,54.32499999562251
2018-09,59,52.74094823221297,52.1881104156014,54.32499999562251
2018-10,85,52.74094823221297,52.1881104156014,54.32499999562251
2018-11,90,52.74094823221297,52.1881104156014,54.32499999562251
2018-12,85,52.74094823221297,52.1881104156014,54.32499999562251
2019-01,72,52.74094823221297,52.1881104156014,54.32499999562251
2019-02,61,52.74094823221297,52.1881104156014,54.32499999562251
2019-03,79,52.74094823221297,52.1881104156014,54.32499999562251
2019-04,50,52.74094823221297,52.1881104156014,54.32499999562251
