Month, Actual_sales, Forecast_sales_0.2, Forecast_sales_0.6, Forecast_sales_auto_optimize
2018-05,497,491.73933989379873,494.0548894076132,481.6029478993846
2018-06,605,491.73933989379873,494.0548894076132,481.6029478993846
2018-07,537,491.73933989379873,494.0548894076132,481.6029478993846
2018-08,492,491.73933989379873,494.0548894076132,481.6029478993846
2018-09,477,491.73933989379873,494.0548894076132,481.6029478993846
2018-10,376,491.73933989379873,494.0548894076132,481.6029478993846
2018-11,480,491.73933989379873,494.0548894076132,481.6029478993846
2018-12,493,491.73933989379873,494.0548894076132,481.6029478993846
2019-01,368,491.73933989379873,494.0548894076132,481.6029478993846
2019-02,375,491.73933989379873,494.0548894076132,481.6029478993846
2019-03,391,491.73933989379873,494.0548894076132,481.6029478993846
2019-04,364,491.73933989379873,494.0548894076132,481.6029478993846
