Month, Actual_sales, Forecast_sales_0.2, Forecast_sales_0.6, Forecast_sales_auto_optimize
2018-05,70,64.7139002631596,65.37101389777955,65.56376454352306
2018-06,91,64.7139002631596,65.37101389777955,65.56376454352306
2018-07,134,64.7139002631596,65.37101389777955,65.56376454352306
2018-08,85,64.7139002631596,65.37101389777955,65.56376454352306
2018-09,96,64.7139002631596,65.37101389777955,65.56376454352306
2018-10,72,64.7139002631596,65.37101389777955,65.56376454352306
2018-11,84,64.7139002631596,65.37101389777955,65.56376454352306
2018-12,89,64.7139002631596,65.37101389777955,65.56376454352306
2019-01,90,64.7139002631596,65.37101389777955,65.56376454352306
2019-02,82,64.7139002631596,65.37101389777955,65.56376454352306
2019-03,92,64.7139002631596,65.37101389777955,65.56376454352306
2019-04,56,64.7139002631596,65.37101389777955,65.56376454352306
