Month, Actual_sales, Forecast_sales_0.2, Forecast_sales_0.6, Forecast_sales_auto_optimize
2018-05,270,364.3324445224452,324.9209145842002,315.01605964558587
2018-06,326,364.3324445224452,324.9209145842002,315.01605964558587
2018-07,337,364.3324445224452,324.9209145842002,315.01605964558587
2018-08,348,364.3324445224452,324.9209145842002,315.01605964558587
2018-09,308,364.3324445224452,324.9209145842002,315.01605964558587
2018-10,299,364.3324445224452,324.9209145842002,315.01605964558587
2018-11,328,364.3324445224452,324.9209145842002,315.01605964558587
2018-12,380,364.3324445224452,324.9209145842002,315.01605964558587
2019-01,291,364.3324445224452,324.9209145842002,315.01605964558587
2019-02,245,364.3324445224452,324.9209145842002,315.01605964558587
2019-03,301,364.3324445224452,324.9209145842002,315.01605964558587
2019-04,240,364.3324445224452,324.9209145842002,315.01605964558587
