Month, Actual_sales, Forecast_sales_0.2, Forecast_sales_0.6, Forecast_sales_auto_optimize
2018-05,54,73.83641546825808,60.405669233223826,70.36691869344152
2018-06,61,73.83641546825808,60.405669233223826,70.36691869344152
2018-07,67,73.83641546825808,60.405669233223826,70.36691869344152
2018-08,68,73.83641546825808,60.405669233223826,70.36691869344152
2018-09,59,73.83641546825808,60.405669233223826,70.36691869344152
2018-10,68,73.83641546825808,60.405669233223826,70.36691869344152
2018-11,93,73.83641546825808,60.405669233223826,70.36691869344152
2018-12,68,73.83641546825808,60.405669233223826,70.36691869344152
2019-01,72,73.83641546825808,60.405669233223826,70.36691869344152
2019-02,67,73.83641546825808,60.405669233223826,70.36691869344152
2019-03,79,73.83641546825808,60.405669233223826,70.36691869344152
2019-04,68,73.83641546825808,60.405669233223826,70.36691869344152
