Month, Actual_sales, Forecast_sales_0.2, Forecast_sales_0.6, Forecast_sales_auto_optimize
2018-05,82,88.42227642975607,84.17997259506458,87.71862820666054
2018-06,105,88.42227642975607,84.17997259506458,87.71862820666054
2018-07,71,88.42227642975607,84.17997259506458,87.71862820666054
2018-08,91,88.42227642975607,84.17997259506458,87.71862820666054
2018-09,75,88.42227642975607,84.17997259506458,87.71862820666054
2018-10,79,88.42227642975607,84.17997259506458,87.71862820666054
2018-11,109,88.42227642975607,84.17997259506458,87.71862820666054
2018-12,114,88.42227642975607,84.17997259506458,87.71862820666054
2019-01,103,88.42227642975607,84.17997259506458,87.71862820666054
2019-02,114,88.42227642975607,84.17997259506458,87.71862820666054
2019-03,95,88.42227642975607,84.17997259506458,87.71862820666054
2019-04,87,88.42227642975607,84.17997259506458,87.71862820666054
